head,class,precision,recall,f1,accuracy,macro_f1
segment,Intro,0.3323,0.5964,0.4268,0.3758,0.2956
segment,Verse,0.5552,0.3636,0.4394,0.3758,0.2956
segment,Bridge,0.1856,0.2146,0.1991,0.3758,0.2956
segment,Chorus,0.5462,0.4235,0.4771,0.3758,0.2956
segment,Instrumental,0.1156,0.6047,0.1940,0.3758,0.2956
segment,Outro,0.0705,0.0254,0.0374,0.3758,0.2956
arousal,Low,0.7051,0.7627,0.7328,0.6514,0.6435
arousal,Mid,0.4689,0.4489,0.4587,0.6514,0.6435
arousal,High,0.7563,0.7227,0.7391,0.6514,0.6435
valence,Dark,0.6025,0.5918,0.5971,0.5541,0.5355
valence,Neutral,0.3922,0.3222,0.3538,0.5541,0.5355
valence,Bright,0.6074,0.7118,0.6555,0.5541,0.5355
